,3 pairs in 15 nights detection loss NEO H=16.0,3 pairs in 15 nights detection loss NEO H=22.0,3 pairs in 15 nights detection loss MBA H=16.0,3 pairs in 15 nights detection loss MBA H=21.0,3 pairs in 15 nights detection loss Trojan H=14.0,3 pairs in 15 nights detection loss Trojan H=18.0,3 pairs in 15 nights detection loss TNO H=4.0,3 pairs in 15 nights detection loss TNO H=8.0,3 pairs in 30 nights detection loss NEO H=16.0,3 pairs in 30 nights detection loss NEO H=22.0,3 pairs in 30 nights detection loss MBA H=16.0,3 pairs in 30 nights detection loss MBA H=21.0,3 pairs in 30 nights detection loss Trojan H=14.0,3 pairs in 30 nights detection loss Trojan H=18.0,3 pairs in 30 nights detection loss TNO H=4.0,3 pairs in 30 nights detection loss TNO H=8.0
pair_strategy_1_v1.4_10yrs,0.9228,0.5945395500438889,1.0,0.5830141872735141,1.0,0.4909901453517548,0.7498,0.4777463544602364,0.9282,0.6380928720432568,1.0,0.6294195696373733,1.0,0.5386441869009441,0.7556,0.5020037437218063
pair_strategy_2_v1.4_10yrs,0.9214,0.5950827697979801,1.0,0.5824339264930133,1.0,0.49214738970972893,0.7484,0.4800703896492263,0.9272,0.6390068613045581,1.0,0.6283873840344382,1.0,0.5416648432316463,0.7556,0.5058962807687244
pair_strategy_3_v1.4_10yrs,0.9196,0.5939598660484856,1.0,0.5834166757719013,1.0,0.48376087570878046,0.7484,0.47739756696407243,0.9264,0.6393199317614249,1.0,0.6313383390206694,1.0,0.5349757776447738,0.756,0.5039876518102967
pair_strategy_4_v1.4_10yrs,0.9212,0.5962275605487893,1.0,0.5796225205772301,1.0,0.48926911837010223,0.7484,0.4768589274959929,0.9286,0.6411300180385603,1.0,0.6274680778910585,1.0,0.5387390454759587,0.7562,0.5021034024836476
roll_mod2_dust_sdf_0.20_v1.4_10yrs,0.9498,0.5974205143085042,1.0,0.5732369480227371,1.0,0.4965729531615045,0.7958,0.49670257654291966,0.9532,0.6421439927705502,1.0,0.6201898974719771,1.0,0.5446492088359763,0.8024,0.5232187461670574
rolling_mod2_sdf_0.10_v1.4_10yrs,0.938,0.5950168421124811,1.0,0.5782764389084252,1.0,0.4883311723126806,0.751,0.4804449100829958,0.9416,0.6328039376058593,1.0,0.6218128790147709,1.0,0.5334171848883544,0.7572,0.5033726859528771
rolling_mod2_sdf_0.20_v1.4_10yrs,0.9362,0.5989094323290729,1.0,0.5810670218331084,1.0,0.4860974366070786,0.7512,0.4790538002778263,0.939,0.6359983882023225,1.0,0.6255960685529259,1.0,0.5343646082000673,0.756,0.5022587803315154
rolling_mod3_sdf_0.10_v1.4_10yrs,0.9418,0.5984878227060085,1.0,0.5691110149447063,1.0,0.505868460054508,0.7506,0.4838446588421186,0.9462,0.6344776621490886,1.0,0.615019000740122,1.0,0.5518197937911294,0.7566,0.506397610571671
rolling_mod3_sdf_0.20_v1.4_10yrs,0.9424,0.6015515387256132,1.0,0.5760631165206865,1.0,0.5043802872697188,0.7504,0.48294682322957827,0.9464,0.639965584445872,1.0,0.6183773253750493,1.0,0.5486041683051784,0.7576,0.5052192886112304
rolling_mod6_sdf_0.10_v1.4_10yrs,0.9448,0.5881236648641726,1.0,0.5628548687079353,1.0,0.48709170594199147,0.7514,0.48395679473628406,0.9484,0.6220903477735903,1.0,0.6072307824337327,1.0,0.5338615200561543,0.7574,0.504698620576773
rolling_mod6_sdf_0.20_v1.4_10yrs,0.9424,0.5892430611830514,1.0,0.5712172057232539,1.0,0.49644626959651383,0.752,0.48243904448188163,0.9478,0.6276474899906929,1.0,0.6146535934375569,1.0,0.5433921814429327,0.7568,0.5029720552208334
short_exp_2ns_1expt_v1.4_10yrs,0.923,0.5832618320318284,1.0,0.5605658127455614,1.0,0.4603156868967848,0.745,0.4652810795742536,0.9294,0.6334652402008071,1.0,0.6132143908839559,1.0,0.5180206877440526,0.7528,0.4941897066099226
short_exp_2ns_5expt_v1.4_10yrs,0.9238,0.5885188205030315,1.0,0.5582186090663802,1.0,0.4598312401930015,0.7468,0.46580267603266706,0.9286,0.6344101860103609,1.0,0.6114425531950007,1.0,0.5147564978798983,0.7528,0.49244663592655963
short_exp_5ns_1expt_v1.4_10yrs,0.927,0.583366896854742,1.0,0.5381833072984492,1.0,0.4390744503874492,0.743,0.4568656467377814,0.9334,0.6325155395191582,1.0,0.5982274881319763,1.0,0.4980015808305542,0.749,0.48474582058470483
short_exp_5ns_5expt_v1.4_10yrs,0.9242,0.5775159869037315,1.0,0.5375658954321362,1.0,0.4345083503656604,0.7414,0.45309424615880606,0.9318,0.627664334206728,1.0,0.5955702444011027,1.0,0.49232034657018203,0.7504,0.48195644983194164
shortddf_v1.4_10yrs,0.9224,0.6060622164078737,1.0,0.5843802595083866,,,0.7488,0.47854485159180293,0.9276,0.6470600966182596,1.0,0.6325743161636024,,,0.7548,0.5036723806813251
